file_name,image_type,shown_word,przedmiot,celownik,dopelniacz,jest
W-11.png,w,W,pudełko,pudełko,pudełka,jest
AMB-10.png,a,NA,pęknięcie,pęknięcie,pęknięcia,jest
W-2.png,w,NA,piłka,piłkę,piłki,jest
AMB-8.png,a,NA,podpis,podpis,podpisu,jest
AMB-17.png,a,W,kolczyk,kolczyk,kolczyka,jest
NA-19.png,na,W,pierścionek,pierścionek,pierścionka,jest
AMB-25.png,a,W,pęknięcie,pęknięcie,pęknięcia,jest
W-20.png,w,NA,telefon,telefon,telefonu,jest
AMB-2.png,a,NA,dziura,dziurę,dziury,jest
W-16.png,w,NA,napój,napój,napoju,jest
NA-10.png,na,NA,mucha,muchę,muchy,jest
NA-26.png,na,NA,paczka,paczkę,paczki,jest
W-19.png,w,W,ryba,rybę,ryby,jest
W-32.png,w,NA,klucz,klucz,klucza,jest
W-17.png,w,W,krzesło,krzesło,krzesła,jest
NA-4.png,na,NA,obrazek,obrazek,obrazka,jest
NA-12.png,na,NA,napis,napis,napisu,jest
NA-15.png,na,W,skarpetka,skarpetkę,skarpetki,jest
AMB-29.png,a,W,pomarańcza,pomarańczę,pomarańczy,jest
NA-24.png,na,NA,but,but,buta,jest
W-22.png,w,NA,but,but,buta,jest
W-9.png,w,W,sowa,sowę,sowy,jest
AMB-19.png,a,W,pomarańcza,pomarańczę,pomarańczy,jest
NA-18.png,na,NA,wazon,wazon,wazonu,jest
W-23.png,w,W,but,but,buta,jest
NA-20.png,na,NA,pomarańcza,pomarańczę,pomarańczy,jest
W-13.png,w,W,płyn,płyn,płynu,jest
NA-29.png,na,W,kot,kota,kota,jest
AMB-31.png,a,W,pomarańcza,pomarańczę,pomarańczy,jest
AMB-9.png,a,W,pęknięcie,pęknięcie,pęknięcia,jest
NA-14.png,na,NA,czapka,czapkę,czapki,jest
NA-28.png,na,NA,drzewo,drzewo,drzewa,jest
AMB-28.png,a,NA,jabłko,jabłko,jabłka,jest
NA-22.png,na,NA,pies,psa,psa,jest
NA-30.png,na,NA,dom,dom,domu,jest
NA-9.png,na,W,mucha,muchę,muchy,jest
NA-23.png,na,W,piłka,piłkę,piłki,jest
AMB-6.png,a,NA,pies,psa,psa,jest
AMB-3.png,a,W,łódka,łódkę,łódki,jest
W-4.png,w,NA,piłka,piłkę,piłki,jest
AMB-16.png,a,NA,kobieta,kobietę,kobiety,jest
NA-25.png,na,W,paczka,paczkę,paczki,jest
W-21.png,w,W,mucha,muchę,muchy,jest
NA-8.png,na,NA,piłka,piłkę,piłki,jest
W-5.png,w,W,piłka,piłkę,piłki,jest
AMB-32.png,a,NA,jabłko,jabłko,jabłka,jest
AMB-7.png,a,W,ludzie,ludzi,ludzi,są
W-28.png,w,NA,jabłko,jabłko,jabłka,jest
NA-31.png,na,W,kot,kota,kota,jest
NA-3.png,na,W,książka,książkę,książki,jest
AMB-4.png,a,NA,pomarańcza,pomarańczę,pomarańczy,jest
W-29.png,w,W,piłka,piłkę,piłki,jest
NA-21.png,na,W,napis,napis,napisu,jest
NA-11.png,na,W,lustro,lustro,lustra,jest
W-24.png,w,NA,but,but,buta,jest
W-18.png,w,NA,noga,nogę,nogi,jest
AMB-1.png,a,W,obrazek,obrazek,obrazka,jest
NA-17.png,na,W,balon,balon,balonu,jest
W-27.png,w,W,jabłko,jabłko,jabłka,jest
AMB-11.png,a,W,jabłko,jabłko,jabłka,jest
W-25.png,w,W,ptak,ptaka,ptaka,jest
NA-13.png,na,W,obrus,obrus,obrusu,jest
NA-7.png,na,W,piłka,piłkę,piłki,jest
AMB-30.png,a,NA,miska,miskę,miski,jest
W-10.png,w,NA,pies,psa,psa,jest
AMB-26.png,a,NA,pająk,pająka,pająka,jest
W-3.png,w,W,piłka,piłkę,piłki,jest
W-6.png,w,NA,szczoteczka,szczoteczkę,szczoteczki,jest
AMB-15.png,a,W,przycisk,przycisk,przycisku,jest
W-7.png,w,W,cukierek,cukierek,cukierka,jest
W-26.png,w,NA,korek,korek,korka,jest
AMB-18.png,a,NA,jabłko,jabłko,jabłka,jest
NA-2.png,na,NA,jabłko,jabłko,jabłka,jest
AMB-13.png,a,W,zakładka,zakładkę,zakładki,jest
AMB-20.png,a,NA,piłka,piłkę,piłki,jest
AMB-14.png,a,NA,koniczyna,koniczynę,koniczyny,jest
NA-16.png,na,NA,pies,psa,psa,jest
NA-5.png,na,W,telefon,telefon,telefonu,jest
W-30.png,w,NA,mucha,muchę,muchy,jest
NA-32.png,na,NA,doniczka,doniczkę,doniczki,jest
NA-6.png,na,NA,piłka,piłkę,piłki,jest
W-1.png,w,W,piłka,piłkę,piłki,jest
W-12.png,w,NA,lizak,lizaka,lizaka,jest
AMB-27.png,a,W,kubek,kubek,kubka,jest
W-8.png,w,NA,wtyczka,wtyczkę,wtyczki,jest
